"Title","Description","Singers (one line)","YoutubeID"
"Irul Niranja Vazhivakkil | Hijaz | D4media","Irul Niranja Vazhivakkil | Hijaz | Music: Chand Pasha | Singers: Shareef Cochin, Shahanas, Jamal Pasha | ഇരുള് നിറഞ്ഞ വഴിവക്കിൽ | ഹിജാസ് | സംഗീതം:ചാന്ദ് പാഷ | ആലാപനം: ശരീഫ് കൊച്ചിൻ, ഷഹനാസ്, ജമാൽ പാഷ | © D4media","Shareef Cochin, Shahanas, Jamal Pasha","pX4N9SwKjlA"
"Iruladanja Duniyavil | Hijaz | D4media","Iruladanja Duniyavil | Hijaz | Music: Chand Pasha | Singers: Shareef Cochin, Shahanas, Jamal Pasha | ഇരുളടഞ്ഞ ദുനിയാവിൽ | ഹിജാസ് | സംഗീതം:ചാന്ദ് പാഷ | ആലാപനം: ശരീഫ് കൊച്ചിൻ, ഷഹനാസ്, ജമാൽ പാഷ | © D4media","Shareef Cochin, Shahanas, Jamal Pasha","7K2WmmOZp_0"
"Makka Shareefenna Naattilannu | Hira Ganangal | D4media","Makka Shareefenna Naattilannu | Hira Ganangal | D4media | മക്കാ ശരീഫെന്ന നാട്ടിലെന്ന് | ഹിറാ ഗാനങ്ങൾ | ഡിഫോർ മീഡിയ","Not credited","zep0deeuwN0"
"Orikkal Nee Marikkum | Hira Ganangal | D4media","Orikkal Nee Marikkum | Hira Ganangal | D4media | ഒരിക്കൽ നീ മരിക്കും | ഹിറാ ഗാനങ്ങൾ | ഡിഫോർ മീഡിയ","Not credited","lrpk9dHc794"
"Paathiraykku Pettunov | Hira Ganangal | D4media","Paathiraykku Pettunov | Hira Ganangal | D4media | പാതിരാക്ക് പേറ്റുനോവ് | ഹിറാ ഗാനങ്ങൾ | ഡിഫോർ മീഡിയ","Not credited","-bzSN41atvU"
"Pooja Pattukalalla | Hira Ganangal | D4media","Pooja Pattukalalla | Hira Ganangal | D4media | പൂജാ പാട്ടുകളല്ല | ഹിറാ ഗാനങ്ങൾ | ഡിഫോർ മീഡിയ","Not credited","6wB6kH301wg"
"Prapancha Naadha | Hira Ganangal | D4media","Prapancha Naadha | Hira Ganangal | D4media | പ്രപഞ്ച നാഥാ | ഹിറാ ഗാനങ്ങൾ | ഡിഫോർ മീഡിയ","Not credited","RGPVcA52_cg"
"Snehathin | Hijaz | D4media","Snehathin | Hijaz | Music: Chand Pasha | Singers: Shareef Cochin, Shahanas, Jamal Pasha | സ്നേഹത്തിൻ | ഹിജാസ് | സംഗീതം:ചാന്ദ് പാഷ | ആലാപനം: ശരീഫ് കൊച്ചിൻ, ഷഹനാസ്, ജമാൽ പാഷ | © D4media","Shareef Cochin, Shahanas, Jamal Pasha","JCQ3Y9I6lPE"
"Uppakku Omana | Hijaz | D4media","Uppakku Omana | Hijaz | Music: Chand Pasha | Singers: Shareef Cochin, Shahanas, Jamal Pasha | ഉപ്പാക്ക് ഓമന | ഹിജാസ് | സംഗീതം:ചാന്ദ് പാഷ | ആലാപനം: ശരീഫ് കൊച്ചിൻ, ഷഹനാസ്, ജമാൽ പാഷ | © D4media","Shareef Cochin, Shahanas, Jamal Pasha","sbQc5XXMX34"
"Varikayay | Hira Ganangal | D4media","Varikayay | Hira Ganangal | D4media | വരികയായ് | ഹിറാ ഗാനങ്ങൾ | ഡിഫോർ മീഡിയ | കേൾക്കാം ഇസ്‌ലാമിക ഗാനങ്ങൾ | ആൽബങ്ങൾ | 1. ഒരുമിക്കാം ഒത്തുകളിക്കാം.. ബാലോത്സവ ഗാനങ്ങള്‍ | 2. യവ്വനം- പോരാട്ടപ്പാട്ടുകള്‍ | 3. അബതാഹ്‌ | 4. മിഴിപ്പൂക്കൾ | 5. ഹിജാസ് | 6. ഹിറാ ഗാനങ്ങൾ","Not credited","fdzOq0jzvfc"
"Velka Velka Hira Hira | Hira Ganangal | D4media","Velka Velka Hira Hira | Hira Ganangal | D4media | വെൽക വെൽക ഹിറാ ഹിറാ | ഹിറാ ഗാനങ്ങൾ | ഡിഫോർ മീഡിയ","Not credited","8uBZejLv5os"
"അന ലസ്തു | Ana Lasthu | Abathaah | Islamic Song","അന ലസ്തു | അബതാഹ്‌ | സംഗീതം: ചാന്ദ് പാഷ | ആലാപനം: ശരീഫ് കൊച്ചിൻ, രഹ്ന, മുഹമ്മദ് കുട്ടി | Ana Lasthu | Abathaah | Composing: Chand Pasha | Singers: Shereef Cochin, Rahna, Muhammad Kutty | © D4media","ശരീഫ് കൊച്ചിൻ, രഹ്ന, മുഹമ്മദ് കുട്ടി","YEm8VIJp5Os"
"അന ലാ ഉരീദു | Ana Laa Ureedu | Abathaah | Islamic Song","അന ലാ ഉരീദു | അബതാഹ്‌ | സംഗീതം: ചാന്ദ് പാഷ | ആലാപനം: ശരീഫ് കൊച്ചിൻ, രഹ്ന, മുഹമ്മദ് കുട്ടി | Ana La Ureedu | Abathaah | Composing: Chand Pasha | Singers: Shereef Cochin, Rahna, Muhammad Kutty | © D4media","ശരീഫ് കൊച്ചിൻ, രഹ്ന, മുഹമ്മദ് കുട്ടി","cas9c10lDik"
"അബതാഹ്‌ | Abathaah | Islamic Song","അബതാഹ്‌ | സംഗീതം: ചാന്ദ് പാഷ | ആലാപനം: ശരീഫ് കൊച്ചിൻ, രഹ്ന, മുഹമ്മദ് കുട്ടി | Abathaah | Composing: Chand Pasha | Singers: Shereef Cochin, Rahna, Muhammad Kutty | © D4media","ശരീഫ് കൊച്ചിൻ, രഹ്ന, മുഹമ്മദ് കുട്ടി","u5KMf7kddkE"
"അറിവിനായുധം  കൊതിക്കും... ജമീല്‍ അഹ്മദ് /ഷാനവാസ്‌","അറിവിനായുധം  കൊതിക്കും... ജമീല്‍ അഹ്മദ് /ഷാനവാസ്‌","Not credited","LfvmNnx2Ld0"
"ആകാശത്ത് |  ഒരുമിക്കാം ഒത്തുകളിക്കാം | ബാലോത്സവ ഗാനങ്ങള്‍ | Malarvadi Balasangam","ആകാശത്ത്..... | ഒരുമിക്കാം ഒത്തുകളിക്കാം | ബാലോത്സവ ഗാനങ്ങള്‍ | Orumikam Othukalikam | Malarvadi Balasangam | കേൾക്കാം ഇസ്‌ലാമിക ഗാനങ്ങൾ | ആൽബങ്ങൾ | 1. ഒരുമിക്കാം ഒത്തുകളിക്കാം.. ബാലോത്സവ ഗാനങ്ങള്‍ | 2. യവ്വനം- പോരാട്ടപ്പാട്ടുകള്‍ | 3. അബതാഹ്‌ | 4. മിഴിപ്പൂക്കൾ | 5. ഹിജാസ് | 6. ഹിറാ ഗാനങ്ങൾ | 7. കുട്ടികള്‍ക്കുള്ള അല്ലാഹുവിന്റെ പാഠങ്ങള്‍ | 8 ആദം - കുട്ടികള്‍ക്കായുള്ള അറിവിന്റെ പാട്ടുകള്‍ | 9. വിദ്യാര്‍ഥികളുടെ പടയും പാട്ടും","Not credited","q0-U0pjWH_g"
